frame,time_s,j1_deg,j2_deg,j3_deg,j4_deg,j5_deg,j6_deg,speed_pct
1,0.0000,-134.100341,-71.852340,-77.604015,-139.019635,123.900000,-4.722993,0.00
2,0.0333,-133.977972,-71.752189,-77.486550,-138.904519,123.900000,-4.726108,2.04
3,0.0667,-133.766878,-71.535365,-77.234386,-138.708943,123.900000,-4.736312,4.20
4,0.1000,-133.472907,-71.219147,-76.867912,-138.437430,123.900000,-4.751950,6.11
5,0.1333,-133.099295,-70.811481,-76.397128,-138.092409,123.900000,-4.772075,7.85
6,0.1667,-132.647178,-70.315124,-75.826199,-137.674525,123.900000,-4.796176,9.52
7,0.2000,-132.117852,-69.733076,-75.159743,-137.184445,123.900000,-4.823604,11.11
8,0.2333,-131.511959,-69.067112,-74.401039,-136.622280,123.900000,-4.853801,12.65
9,0.2667,-130.828804,-68.317109,-73.551316,-135.986799,123.900000,-4.886220,14.16
10,0.3000,-130.062580,-67.472550,-72.464947,-135.331346,123.765651,-5.032826,18.11
11,0.3333,-129.209175,-66.539484,-71.105384,-134.671632,123.456038,-5.333411,22.66
12,0.3667,-128.270174,-65.536539,-69.581439,-133.969967,123.060488,-5.717512,25.40
13,0.4000,-127.247312,-64.476433,-67.965601,-133.202076,122.637071,-6.138091,26.93
14,0.4333,-126.141245,-63.366698,-66.295974,-132.355652,122.214665,-6.571458,27.83
15,0.4667,-124.952533,-62.212389,-64.595817,-131.423864,121.809594,-7.003505,28.34
16,0.5000,-123.681708,-61.017509,-62.884138,-130.401261,121.434493,-7.422240,28.53
17,0.5333,-122.329576,-59.785281,-61.175867,-129.283842,121.098134,-7.817651,28.47
18,0.5667,-120.897777,-58.518137,-59.483059,-128.069093,120.806621,-8.180565,28.21
19,0.6000,-119.388059,-57.218370,-57.817674,-126.754295,120.565120,-8.501027,27.76
20,0.6333,-117.803155,-55.887955,-56.190535,-125.337509,120.377098,-8.768774,27.12
21,0.6667,-116.147066,-54.528604,-54.611030,-123.818120,120.243868,-8.973577,27.60
22,0.7000,-114.424254,-53.142085,-53.088772,-122.195404,120.165567,-9.104268,28.71
23,0.7333,-112.640454,-51.730258,-51.632620,-120.469661,120.140323,-9.149586,29.73
24,0.7667,-110.802976,-50.294979,-50.249801,-118.643036,120.163764,-9.099158,30.62
25,0.8000,-108.919708,-48.838540,-48.947905,-116.717934,120.230044,-8.942335,32.09
26,0.8333,-106.999817,-47.363513,-47.733409,-114.698397,120.331131,-8.669664,33.66
27,0.8667,-105.053944,-45.872794,-46.610970,-112.591120,120.456888,-8.274212,35.12
28,0.9000,-103.093079,-44.369807,-45.585331,-110.403547,120.596019,-7.750024,36.46
29,0.9333,-101.129085,-42.858409,-44.660039,-108.145486,120.735956,-7.093931,37.63
30,0.9667,-99.174640,-41.342626,-43.836253,-105.829861,120.863599,-6.306893,38.59
31,1.0000,-97.242298,-39.826970,-43.115361,-103.470720,120.965929,-5.391671,39.32
32,1.0333,-95.344769,-38.316029,-42.497017,-101.084546,121.030638,-4.354668,39.77
33,1.0667,-93.494669,-36.814043,-41.978616,-98.690264,121.047167,-3.206297,39.90
34,1.1000,-91.703971,-35.325397,-41.557654,-96.307245,121.006582,-1.958198,39.72
35,1.1333,-89.984088,-33.853935,-41.229996,-93.955925,120.902408,-0.624393,39.19
36,1.1667,-88.345731,-32.402540,-40.989502,-91.657109,120.731667,0.779310,38.31
37,1.2000,-86.798707,-30.973808,-40.830256,-89.430474,120.493389,2.237773,37.11
38,1.2333,-85.351977,-29.569275,-40.745179,-87.294537,120.189596,3.736177,35.60
39,1.2667,-84.013635,-28.189287,-40.725744,-85.266019,119.825765,5.260567,33.81
40,1.3000,-82.791011,-26.833686,-40.764007,-83.359303,119.408564,6.799395,31.78
41,1.3333,-81.690797,-25.501334,-40.851467,-81.586459,118.946870,8.343132,29.55
42,1.3667,-80.719053,-24.189851,-40.978939,-79.956824,118.451736,9.884715,27.16
43,1.4000,-79.881473,-22.896855,-41.138298,-78.477624,117.934390,11.419550,25.58
44,1.4333,-79.183606,-21.619338,-41.321613,-77.154056,117.407072,12.945340,25.43
45,1.4667,-78.630804,-20.353549,-41.520962,-75.989044,116.883115,14.462111,25.28
