frame,time_s,j1_deg,j2_deg,j3_deg,j4_deg,j5_deg,j6_deg,speed_pct
1,0.0000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
2,0.0417,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
3,0.0833,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
4,0.1250,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
5,0.1667,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
6,0.2083,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
7,0.2500,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
8,0.2917,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
9,0.3333,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
10,0.3750,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
11,0.4167,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
12,0.4583,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
13,0.5000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
14,0.5417,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
15,0.5833,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
16,0.6250,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
17,0.6667,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
18,0.7083,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
19,0.7500,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
20,0.7917,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
21,0.8333,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
22,0.8750,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
23,0.9167,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
24,0.9583,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
25,1.0000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
26,1.0417,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
27,1.0833,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
28,1.1250,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
29,1.1667,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
30,1.2083,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
31,1.2500,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
32,1.2917,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
33,1.3333,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
34,1.3750,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
35,1.4167,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
36,1.4583,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
37,1.5000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
38,1.5417,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
39,1.5833,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
40,1.6250,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
41,1.6667,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
42,1.7083,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
43,1.7500,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
44,1.7917,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
45,1.8333,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
46,1.8750,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
47,1.9167,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
48,1.9583,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
49,2.0000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
50,2.0417,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
51,2.0833,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
52,2.1250,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
