frame,time_s,j1_deg,j2_deg,j3_deg,j4_deg,j5_deg,j6_deg,speed_pct
1,0.0000,0.000001,-32.425210,-49.066149,0.000045,-16.640993,-0.000046,0.00
2,0.0417,0.000001,-32.457175,-49.124110,0.000045,-16.666992,-0.000046,0.77
3,0.0833,0.000001,-32.476504,-49.159006,0.000045,-16.682549,-0.000046,0.47
4,0.1250,0.000001,-32.492477,-49.187682,0.000045,-16.695257,-0.000046,0.38
5,0.1667,0.000001,-32.509102,-49.217452,0.000045,-16.708400,-0.000046,0.40
6,0.2083,0.000001,-32.527994,-49.251241,0.000045,-16.723300,-0.000046,0.45
7,0.2500,0.000001,-32.549693,-49.290029,0.000045,-16.740396,-0.000046,0.52
8,0.2917,0.000001,-32.574395,-49.334221,0.000045,-16.759869,-0.000045,0.59
9,0.3333,0.000001,-32.602190,-49.383910,0.000045,-16.781773,-0.000045,0.66
10,0.3750,0.000001,-32.633066,-49.439129,0.000045,-16.806111,-0.000045,0.74
11,0.4167,0.000001,-32.667005,-49.499829,0.000045,-16.832873,-0.000045,0.81
12,0.4583,0.000001,-32.703987,-49.565983,0.000045,-16.862041,-0.000045,0.88
13,0.5000,0.000001,-32.743975,-49.637529,0.000045,-16.893595,-0.000045,0.95
14,0.5417,0.000001,-32.786950,-49.714410,0.000045,-16.927509,-0.000045,1.03
15,0.5833,0.000001,-32.832873,-49.796587,0.000045,-16.963765,-0.000045,1.10
16,0.6250,0.000001,-32.881705,-49.884000,0.000045,-17.002335,-0.000045,1.17
17,0.6667,0.000001,-32.933430,-49.976586,0.000045,-17.043209,-0.000045,1.23
18,0.7083,0.000001,-32.988004,-50.074299,0.000045,-17.086350,-0.000045,1.30
19,0.7500,0.000001,-33.045401,-50.177097,0.000045,-17.131745,-0.000045,1.37
20,0.7917,0.000001,-33.105596,-50.284922,0.000044,-17.179375,-0.000045,1.44
21,0.8333,0.000001,-33.168546,-50.397712,0.000044,-17.229212,-0.000045,1.50
22,0.8750,0.000001,-33.234229,-50.515417,0.000044,-17.281239,-0.000045,1.57
23,0.9167,0.000001,-33.302616,-50.637991,0.000044,-17.335432,-0.000045,1.63
24,0.9583,0.000001,-33.373667,-50.765395,0.000044,-17.391781,-0.000045,1.70
25,1.0000,0.000001,-33.447365,-50.897559,0.000044,-17.450247,-0.000045,1.76
26,1.0417,0.000001,-33.523665,-51.034439,0.000044,-17.510827,-0.000045,1.83
27,1.0833,0.000001,-33.602553,-51.175995,0.000044,-17.573491,-0.000044,1.89
28,1.1250,0.000001,-33.683986,-51.322158,0.000044,-17.638222,-0.000044,1.95
29,1.1667,0.000001,-33.767940,-51.472879,0.000044,-17.704993,-0.000044,2.01
30,1.2083,0.000001,-33.854389,-51.628133,0.000044,-17.773800,-0.000044,2.07
31,1.2500,0.000002,-33.943301,-51.787864,0.000044,-17.844614,-0.000044,2.13
32,1.2917,0.000002,-34.034638,-51.952000,0.000044,-17.917412,-0.000044,2.19
33,1.3333,0.000002,-34.128382,-52.120511,0.000044,-17.992171,-0.000044,2.25
34,1.3750,0.000002,-34.224507,-52.293349,0.000044,-18.068893,-0.000044,2.30
35,1.4167,0.000002,-34.322971,-52.470459,0.000044,-18.147539,-0.000044,2.36
36,1.4583,0.000002,-34.423750,-52.651794,0.000044,-18.228093,-0.000044,2.42
37,1.5000,0.000002,-34.526825,-52.837315,0.000044,-18.310542,-0.000044,2.47
38,1.5417,0.000002,-34.632157,-53.026966,0.000044,-18.394859,-0.000044,2.53
39,1.5833,0.000002,-34.739715,-53.220694,0.000044,-18.481032,-0.000043,2.58
40,1.6250,0.000002,-34.849486,-53.418476,0.000044,-18.569039,-0.000043,2.64
41,1.6667,0.000002,-34.961423,-53.620233,0.000044,-18.658854,-0.000043,2.69
42,1.7083,0.000002,-35.075511,-53.825934,0.000044,-18.750469,-0.000043,2.74
43,1.7500,0.000002,-35.191720,-54.035542,0.000044,-18.843865,-0.000043,2.79
44,1.7917,0.000002,-35.310019,-54.248989,0.000043,-18.939015,-0.000043,2.85
45,1.8333,0.000002,-35.430380,-54.466234,0.000043,-19.035905,-0.000043,2.90
46,1.8750,0.000002,-35.552781,-54.687252,0.000043,-19.134522,-0.000043,2.95
47,1.9167,0.000002,-35.677189,-54.911965,0.000043,-19.234834,-0.000043,3.00
48,1.9583,0.000002,-35.803572,-55.140346,0.000043,-19.336826,-0.000042,3.05
49,2.0000,0.000003,-35.931918,-55.372361,0.000043,-19.440491,-0.000042,3.09
50,2.0417,0.000003,-36.062180,-55.607917,0.000043,-19.545788,-0.000042,3.14
51,2.0833,0.000003,-36.194347,-55.847021,0.000043,-19.652722,-0.000042,3.19
52,2.1250,0.000003,-36.328393,-56.089609,0.000043,-19.761267,-0.000042,3.23
53,2.1667,0.000003,-36.464273,-56.335602,0.000043,-19.871387,-0.000042,3.28
54,2.2083,0.000003,-36.601966,-56.584999,0.000043,-19.983079,-0.000042,3.33
55,2.2500,0.000003,-36.741459,-56.837744,0.000043,-20.096336,-0.000042,3.37
56,2.2917,0.000003,-36.882711,-57.093777,0.000043,-20.211110,-0.000042,3.41
57,2.3333,0.000003,-37.025701,-57.353057,0.000043,-20.327398,-0.000042,3.46
58,2.3750,0.000003,-37.170405,-57.615535,0.000043,-20.445183,-0.000041,3.50
59,2.4167,0.000003,-37.316793,-57.881175,0.000043,-20.564438,-0.000041,3.54
60,2.4583,0.000003,-37.464831,-58.149936,0.000043,-20.685151,-0.000041,3.58
61,2.5000,0.000003,-37.614501,-58.421750,0.000043,-20.807302,-0.000041,3.62
62,2.5417,0.000003,-37.765776,-58.696590,0.000043,-20.930867,-0.000041,3.66
63,2.5833,0.000003,-37.918628,-58.974401,0.000043,-21.055827,-0.000041,3.70
64,2.6250,0.000003,-38.073028,-59.255149,0.000042,-21.182160,-0.000041,3.74
65,2.6667,0.000004,-38.228962,-59.538766,0.000042,-21.309862,-0.000041,3.78
66,2.7083,0.000004,-38.386380,-59.825217,0.000042,-21.438891,-0.000041,3.82
67,2.7500,0.000004,-38.545271,-60.114462,0.000042,-21.569244,-0.000040,3.86
68,2.7917,0.000004,-38.705606,-60.406446,0.000042,-21.700894,-0.000040,3.89
